tahun,nama_provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,status_dalam_keluarga,jumlah
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Anak,3244
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Cucu,26
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Famili Lain,98
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Istri,1558
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Kepala Keluarga,2061
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Mertua,5
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Orang Tua,15
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,,56
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Anak,3251
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Cucu,14
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Famili Lain,51
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Istri,1585
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Kepala Keluarga,2092
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Mertua,9
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Orang Tua,54
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,,121
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Anak,1173
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Cucu,5
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Famili Lain,14
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Istri,594
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Kepala Keluarga,766
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Orang Tua,27
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,,65
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Anak,1128
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Cucu,11
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Famili Lain,10
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Istri,565
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Kepala Keluarga,715
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Mertua,6
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Orang Tua,19
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,,41
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Anak,2770
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Cucu,12
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Famili Lain,60
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Istri,1319
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Kepala Keluarga,1690
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Mertua,4
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Orang Tua,42
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Suami,1
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,,98
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Anak,1583
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Cucu,22
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Famili Lain,60
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Istri,851
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Kepala Keluarga,1071
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Orang Tua,6
2019,PROVINSI DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,,40
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,Anak,1232
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,Cucu,19
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,Famili Lain,50
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,Istri,558
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,Kepala Keluarga,1124
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,Mertua,2
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,Orang Tua,9
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,,137
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Anak,7849
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Cucu,221
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Famili Lain,364
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Istri,3600
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Kepala Keluarga,6668
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Lainnya,1
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Menantu,30
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Mertua,21
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Orang Tua,70
2019,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,Suami,3
