nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-11-30 23:40:00",230,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-11-30 23:40:00",260,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-11-30 23:50:00",1250,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-11-30 23:00:00",5300,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-11-30 23:50:00",140,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-11-30 23:50:00",110,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-11-30 23:50:00",2600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-11-30 23:50:00",1410,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-11-30 23:50:00",1330,"Status : Normal"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-11-30 23:50:00",-2060,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-11-30 23:50:00",720,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-11-22 01:00:00",600,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-11-30 23:50:00",890,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-11-30 23:50:00",3410,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-11-30 23:50:00",170,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-11-30 23:50:00",890,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-11-30 23:00:00",400,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-11-30 23:50:00",1280,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-11-30 23:40:00",1000,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-11-30 23:50:00",1330,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-11-30 23:50:00",1380,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-01 00:20:00",220,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-01 00:20:00",260,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-01 00:20:00",1220,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-11-30 23:00:00",5300,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-01 00:20:00",140,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-12-01 00:20:00",100,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-01 00:20:00",2600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-01 00:20:00",1440,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-01 00:20:00",1410,"Status : Normal"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-01 00:20:00",-2070,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-01 00:20:00",730,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-11-22 01:00:00",600,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-01 00:20:00",890,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-12-01 00:20:00",3410,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-12-01 00:10:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-12-01 00:20:00",890,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-11-30 23:00:00",400,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-12-01 00:20:00",1280,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-12-01 00:20:00",1000,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-12-01 00:20:00",1350,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-12-01 00:20:00",1380,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-12-01 00:50:00",220,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-12-01 00:50:00",270,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-12-01 00:50:00",1200,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-11-30 23:00:00",5300,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-12-01 00:50:00",140,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-12-01 00:50:00",80,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-12-01 00:50:00",2600,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-12-01 00:50:00",1450,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-12-01 00:50:00",1460,"Status : Normal"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-12-01 00:50:00",-2070,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-12-01 00:50:00",720,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-11-22 01:00:00",600,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-12-01 00:50:00",890,"Status : Normal"
